value
analista
dados
bi
power
bi
analytics
marketing
analytics
data
analytics
sql
excel
analista
dados
power
bi
excel
analista
dados
analista
dados
analista
dados
analista
dados
power
bi
data
analytics
sql
metodologias
data
analista
dados
analista
dados
analista
dados
analista
dados
analytics
python
analista
dados
analista
dados
analista
dados
analista
dados
python
sql
power
bi
sap
processos
analista
dados
hospital
analista
dados
business
intelligence
power
bi
dax
data
analista
dados
power
bi
business
intelligence
business
analytics
sql
metodologias
analista
dados
analista
dados
administração
administração
economista
analista
dados
analista
dados
crédito
analista
analista
dados
analista
dados
bi
analytics
sql
marketing
analytics
power
bi
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
python
r
vba
etl
powerbi
analista
dados
desenvolvimento
s
analista
dados
business
intelligence
etl
power
bi
sql
data
analista
dados
analista
dados
analista
banco
dados
analista
dados
analista
dados
analista
dados
power
bi
tableau
sql
python
vba
analista
dados
analista
dados
power
bi
sql
inteligência
analista
dados
crédito
analista
dados
sql
python
power
i
analista
dados
bi
analytics
sql
excel
power
bi
etl
analista
dados
engenharia
analista
dados
sql
excel
data
analytics
business
analytics
business
intelligence
analista
dados
desenvolvedor
analista
dados
business
intelligence
power
bi
sql
analytics
etl
analista
dados
analista
negócios
power
bi
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
crédito
analista
dados
analista
comunicação
dados
analista
dados
analista
dados
grupo
analista
dados
estatística
análise
analista
dados
desenvolvedor
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
analista
bi
power
bi
sql
excel
data
analytics
business
intelligence
analytics
data
science
analista
dados
analista
dados
análise
bi
power
bi
analista
dados
excel
analista
dados
business
intelligence
sql
data
analytics
power
bi
analista
dados
analista
dados
analista
dados
analista
dados
power
bi
sql
studio
analista
dados
python
sql
power
bi
google
analista
dados
microsoft
engenheiro
dados
analista
dados
power
bi
sql
excel
analista
dados
design
analista
dados
analista
dados
power
bi
analytics
analista
dados
analista
dados
analista
dados
tecnologia
analista
dados
analista
dados
analista
dados
epidemiológicos
hospital
moinhos
analista
comunicação
dados
analista
dados
sistemas
analista
dados
estatística
analista
dados
cientista
dados
analista
dados
analista
dados
business
intelligence
analytics
data
science
power
bi
sql
analista
dados
analista
dados
analista
dados
analista
dados
business
intelligence
analytics
data
science
power
bi
sql
analista
dados
business
intelligence
analytics
marketing
analytics
sql
analista
dados
power
bi
analytics
analista
dados
analista
dados
bi
data
power
bi
qlik
sense
dax
sql
oracle
analista
dados
data
science
business
intelligence
analista
bi
dados
analista
comunicação
dados
analista
dados
analista
dados
epidemiológicos
hospital
moinhos
analista
dados
bi
analista
dados
analista
dados
analista
dados
analista
bi
business
intelligence
sql
analytics
data
analytics
excel
analista
dados
business
intelligence
analytics
power
bi
analista
bi
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
dados
analista
dados
power
bi
marketing
analytics
sql
business
intelligence
data
analytics
power
bi
analista
dados
business
intelligence
analytics
power
bi
sql
analista
dados
analista
dados
analista
dados
business
intelligence
analytics
power
bi
sql
analista
dados
analista
banco
dados
analista
dados
analista
banco
dados
analista
desenvolvimento
analista
dados
bi
analytics
excel
power
bi
sql
business
intelligence
analista
dados
jr
python
sql
excel
power
bi
analista
engenharia
dados
analista
dados
bi
business
intelligence
analista
dados
jr
power
bi
analytics
data
science
analista
dados
i
analista
dados
análise
dados
cientista
dados
analista
dados
sql
analista
estatística
analista
dados
tableau
analista
dados
analista
dados
business
intelligence
analista
bi
analytics
analista
dados
data
analytics
business
intelligence
analytics
data
science
power
bi
sql
analista
bi
analista
dados
cientista
dados
analista
dados
python
sql
analista
dados
analista
dados
business
intelligence
analytics
sql
power
bi
etl
dax
bi
data
analytics
analista
dados
processos
analista
dados
business
intelligence
analytics
analista
power
bi
sql
analista
dados
bi
sql
analytics
etl
intelligence
projetos
excel
analista
dados
jr
analista
dados
bi
power
bi
studio
analista
dados
jr
analista
dados
analista
dados
gestão
analista
dados
analista
dados
lojas
s
analista
dados
bi
business
intelligence
analytics
sql
excel
analista
dados
python
sql
analista
dados
analista
dados
data
analytics
business
intelligence
power
bi
etl
sql
analista
dados
tableau
analista
dados
bi
power
bi
analytics
excel
analista
dados
business
intelligence
metodologias
marketing
analytics
design
design
design
google
data
studio
google
sql
analista
dados
analista
dados
python
sql
power
bi
dax
analista
dados
data
analytics
analista
bi
business
intelligence
marketing
analytics
power
bi
excel
sql
analista
dados
ciência
dados
sql
r
data
business
data
analista
redes
comunicação
dados
data
analyst
analista
dados
analista
bi
power
bi
excel
sql
analista
dados
bi
analytics
data
science
marketing
analytics
power
bi
sql
excel
analista
dados
bi
business
intelligence
analytics
sql
marketing
analytics
power
bi
people
analytics
analista
dados
business
intelligence
analytics
data
science
power
bi
sql
analista
dados
python
sql
tableau
power
bi
bi
analista
dados
power
bi
excel
analista
dados
analista
dados
analista
sistemas
engenharia
dados
analista
dados
business
intelligence
power
bi
sql
analytics
etl
analista
dados
bi
analista
dados
analista
dados
analista
dados
analista
dados
analista
dados
power
i
sql
analista
dados
analista
dados
jr
analista
dados
data
analyst
dados
sql
analista
dados
analista
dados
crédito
analista
dados
powerbi
sql
analista
dados
analista
dados
bi
analista
bi
